RawName,SpeciesName,ScientificName,AphiaID,Family,Order,Class,TaxaGroup
Acanthogorgia sp.,Acanthogorgia,Acanthogorgia,125293,Acanthogorgiidae,Malacalcyonacea,Octocorallia,Coral
Acanthogorgiidae,Acanthogorgiidae,Paramuriceidae,125272,Acanthogorgiidae,Malacalcyonacea,Octocorallia,Coral
Actinaria,Actinaria,Actinaraea,1440251,Actinacididae,Scleractinia,Hexacorallia,Other
Actinaria (anemone Order),Actinaria,Actinaraea,1440251,Actinacididae,Scleractinia,Hexacorallia,Other
Actinaria (anemone),Actinaria,Actinaraea,1440251,Actinacididae,Scleractinia,Hexacorallia,Other
Actiniaria (sea anemone),Actinaria,Actinaraea,1440251,Actinacididae,Scleractinia,Hexacorallia,Other
Anemone,Actinaria,Actinaraea,1440251,Actinacididae,Scleractinia,Hexacorallia,Other
Unid. Anthozoa,Actinaria,Actinaraea,1440251,Actinacididae,Scleractinia,Hexacorallia,Other
Agonidae,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Agonidae (poacher),Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Bathyagonus nigripinnis,Bathyagonus nigripinnis,Bathyagonus nigripinnis,254505,Agonidae,Perciformes,Teleostei,Fish
Poacher,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
poacher,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Poacher unid,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Poacher unid.,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Poacher Unid.,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Poacher/eelpout,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Sawback poacher,Sarritor frenatus,Sarritor frenatus,254374,Agonidae,Perciformes,Teleostei,Fish
Sculpin/Poacher,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
sculpin/poacher/eelpout,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Sculpin/Poacher/snailfish,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Sculpin/Poacher/Snailfish,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
sculpin/poacher/snailfish/eelpout,Agonidae,Agonidae,125588,Agonidae,Perciformes,Teleostei,Fish
Alcyoniidae,Alcyoniidae,Alcyoniidae,125269,Alcyoniidae,Malacalcyonacea,Octocorallia,Soft coral
Anthothela sp.,Anthothela,Anthothela,125324,Alcyoniidae,Malacalcyonacea,Octocorallia,Soft coral
Gersemia sp,Gersemia,Gersemia,146953,Alcyoniidae,Malacalcyonacea,Octocorallia,Soft coral
Gersemia sp.,Gersemia,Gersemia,146953,Alcyoniidae,Malacalcyonacea,Octocorallia,Soft coral
Soft coral,Gersemia,Gersemia,146953,Alcyoniidae,Malacalcyonacea,Octocorallia,Soft coral
Anoplopoma fimbria,Anoplopoma fimbria,Anoplopoma fimbria,159463,Anoplopomatidae,Perciformes,Teleostei,Fish
Anoplopoma fimbria (sablefish),Anoplopoma fimbria,Anoplopoma fimbria,159463,Anoplopomatidae,Perciformes,Teleostei,Fish
Sable fish,Anoplopoma fimbria,Anoplopoma fimbria,159463,Anoplopomatidae,Perciformes,Teleostei,Fish
Sablefish,Anoplopoma fimbria,Anoplopoma fimbria,159463,Anoplopomatidae,Perciformes,Teleostei,Fish
Stichopathes spiessi,Aphanostichopathes spiessi,Aphanostichopathes spiessi,1516570,Aphanipathidae,Antipatharia,Hexacorallia,Coral
Anthoptilum cf lithophilum,Lithoptilum lithophilum,Lithoptilum lithophilum,1769885,Anthoptilidae,Scleralcyonacea,Octocorallia,Pennatulacean
Anthoptilum grandiflorum,Anthoptilum grandiflorum,Anthoptilum grandiflorum,128504,Anthoptilidae,Scleralcyonacea,Octocorallia,Pennatulacean
Anthoptilum sp,Anthoptilum sp,Anthoptilum sp,128489,Anthoptilidae,Scleralcyonacea,Octocorallia,Pennatulacean
Antipathidae,Antipathidae,Antipathidae,103301,Antipathidae,Antipatharia,Hexacorallia,Coral
Aphanostichopathes spiessi,Aphanostichopathes spiessi,Aphanostichopathes spiessi,1516570,Aphanipathidae,Antipatharia,Hexacorallia,Coral
Alaska skate,Bathyraja parmifera,Arctoraja parmifera,271528,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Aleutian Skate,Bathyraja aleutica,Bathyraja aleutica,271506,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja aleutica,Bathyraja aleutica,Bathyraja aleutica,271506,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja aleutica (Aleutian skate),Bathyraja aleutica,Bathyraja aleutica,271506,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja egg case,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja interrupta (GOA form),Bathyraja interrupta,Bathyraja interrupta,271515,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja lindbergi,Bathyraja lindbergi,Bathyraja lindbergi,271517,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja maculata,Bathyraja maculata,Bathyraja maculata,271520,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja maculata (whiteblotched),Bathyraja maculata,Bathyraja maculata,271520,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja minispinosa,Bathyraja minspinosa,Bathyraja minispinosa,271524,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja minispinosa (whitebrow),Bathyraja minspinosa,Bathyraja minispinosa,271524,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja minisponosa (whitebrow),Bathyraja minspinosa,Bathyraja minispinosa,271524,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja parmifera,Bathyraja parmifera,Arctoraja parmifera,271528,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja parmifera (Alaska),Bathyraja parmifera,Arctoraja parmifera,271528,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja sp,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja sp.,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja sp. egg case,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Bathyraja taranetzi,Bathyraja taranetzi,Bathyraja taranetzi,298834,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Butterfly skate,Bathyraja mariposa,Bathyraja mariposa,271522,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Leopard skate,Bathyraja panthera,Bathyraja panthera,712390,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Mud Skate,Bathyraja taranetzi,Bathyraja taranetzi,298834,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Skate,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
skate,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Skate Egg Case,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Skate sp.,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Skate unid,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Skate Unid,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
skate unid,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
skate unid - juvenile,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Skate unid.,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Skate Unid.,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Unident. Skate,Bathyraja,Bathyraja,105761,Arhynchobatidae,Rajiformes,Elasmobranchii,Fish
Axinella blanca,Axinella blanca,Axinella blanca,132468,Axinellidae,Axinellida,Demospongiae,Sponge
Balticina sp,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Balticina sp dead,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Balticina willemoesi,Balticina willemoesi,Balticina willemoesi,1393616,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Balticinidae,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Balticinidae dead,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Damaged halipteris,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Dead/Damaged Sea Whip,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Dead/Damaged sea whip,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Dead/Damaged Sea whip,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris damaged,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris dead/horizontal,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris juvenile,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp (damaged),Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp (horizontal),Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp (sea whip),Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp A (bent tip),Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp dead/horizontal,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp X,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp.,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp. (sea whip),Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp. Damaged,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp. damaged,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp. dead/horizontal,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp. Dead/horizontal,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp. horizontal,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp. Horizontal,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris sp. X,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris willemoesi,Balticina willemoesi,Balticina willemoesi,1393616,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris willemoesi (adult),Balticina willemoesi,Balticina willemoesi,1393616,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris willemoesi (damaged),Balticina willemoesi,Balticina willemoesi,1393616,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris willemoesi (horizontal),Balticina willemoesi,Balticina willemoesi,1393616,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris willemoesi (sea whip),Balticina willemoesi,Balticina willemoesi,1393616,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris willemoesi damaged,Balticina willemoesi,Balticina willemoesi,1393616,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris willemoesi horizontal,Balticina willemoesi,Balticina willemoesi,1393616,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipteris willemoesi with basket star,Balticina willemoesi,Balticina willemoesi,1393616,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipterus dead (fallen over),Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipterus dead/horizontal,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipterus sp,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipterus sp (sea whip),Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipterus sp.,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipterus sp. damaged,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipterus sp. Damaged,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipterus willemoesi,Balticina willemoesi,Balticina willemoesi,1393616,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halipterus willemoesi horizontal,Balticina willemoesi,Balticina willemoesi,1393616,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Halitperis sp.,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Penatulacea dead (dead/horizontal),Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Pennatulacea (sea pen/whip),Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Pennatulacea (sea whip),Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Pennatulacea dead/horizontal,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Sea Whip,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Sea whip,Balticina,Balticina,146534,Balticinidae,Scleralcyonacea,Octocorallia,Pennatulacean
Bathymaster caeruleofasciatus,Bathymaster caeruleofasciatus,Bathymaster caeruleofasciatus,279415,Bathymasteridae,Perciformes,Teleostei,Fish
Bathymaster signatus,Bathymaster signatus,Bathymaster signatus,254513,Bathymasteridae,Perciformes,Teleostei,Fish
Bathymaster signatus (searcher),Bathymaster signatus,Bathymaster signatus,254513,Bathymasteridae,Perciformes,Teleostei,Fish
Bathymaster sp.,Bathymasteridae,Bathymasteridae,151388,Bathymasteridae,Perciformes,Teleostei,Fish
bathymaster sp.,Bathymasteridae,Bathymasteridae,151388,Bathymasteridae,Perciformes,Teleostei,Fish
Bathymasteridae,Bathymasteridae,Bathymasteridae,151388,Bathymasteridae,Perciformes,Teleostei,Fish
Ronquil,Bathymasteridae,Bathymasteridae,151388,Bathymasteridae,Perciformes,Teleostei,Fish
Ronquil Unid.,Ronquilus jordani,Ronquilus jordani,282629,Bathymasteridae,Perciformes,Teleostei,Fish
Ronquilus jordani,Ronquilus jordani,Ronquilus jordani,282629,Bathymasteridae,Perciformes,Teleostei,Fish
searcher,Bathymasteridae,Bathymasteridae,151388,Bathymasteridae,Perciformes,Teleostei,Fish
Searcher,Bathymasteridae,Bathymasteridae,151388,Bathymasteridae,Perciformes,Teleostei,Fish
Desmophyllum dianthus,Desmophyllum dianthus,Desmophyllum dianthus,135159,Caryophylliidae,Scleractinia,Hexacorallia,Coral
Desmophyllum pertusum,Desmophyllum pertusum,Desmophyllum pertusum,1245747,Caryophylliidae,Scleractinia,Hexacorallia,Coral
Possible Scleractinian Reef,Desmophyllum pertusum,Desmophyllum pertusum,1245747,Caryophylliidae,Scleractinia,Hexacorallia,Coral
Erimacrus isenbeckii,Erimacrus isenbeckii,Erimacrus isenbeckii,440405,Cheiragonidae,Decapoda,Malacostraca,Crab
Hydrolagus colliei,Hydrolagus colliei,Hydrolagus colliei,271406,Chimaeridae,Chimaeriformes,Holocephali,Fish
Chrysopathes formosa,Chrysopathes formosa,Chrysopathes formosa,289659,Cladopathidae,Antipatharia,Hexacorallia,Coral
Chrysopathes sp,Chrysopathes,Chrysopathes,267316,Cladopathidae,Antipatharia,Hexacorallia,Coral
Chrysopathes speciosa,Chrysopathes speciosa,Chrysopathes speciosa,289661,Cladopathidae,Antipatharia,Hexacorallia,Coral
Cladopathidae,Cladopathidae,Cladopathidae,266961,Cladopathidae,Antipatharia,Hexacorallia,Coral
Asbestopluma ramosa,Asbestopluma ramosa,Asbestopluma (Asbestopluma) ramosa,1315472,Cladorhizidae,Poecilosclerida,Demospongiae,Sponge
Asbestopluma sp,Asbestopluma,Asbestopluma,131893,Cladorhizidae,Poecilosclerida,Demospongiae,Sponge
Asbestopluma sp dead,Asbestopluma,Asbestopluma,131893,Cladorhizidae,Poecilosclerida,Demospongiae,Sponge
Chondrocladia,Chondrocladia,Chondrocladia,131894,Cladorhizidae,Poecilosclerida,Demospongiae,Sponge
Chondrocladia concrescens,Chondrocladia concrescens,Chondrocladia (Chondrocladia) concrescens,881551,Cladorhizidae,Poecilosclerida,Demospongiae,Sponge
Chondrocladia sp,Chondrocladia,Chondrocladia,131894,Cladorhizidae,Poecilosclerida,Demospongiae,Sponge
Cladorhiza sp,Cladorhiza,Cladorhiza,131895,Cladorhizidae,Poecilosclerida,Demospongiae,Sponge
Cladorhiza sp.,Cladorhiza,Cladorhiza,131895,Cladorhizidae,Poecilosclerida,Demospongiae,Sponge
Clavulariidae,Clavulariidae,Clavulariidae,125270,Clavulariidae,Malacalcyonacea,Octocorallia,Soft coral
Clupeidae (herring),Clupea pallasi,Clupea pallasii,400014,Clupeidae,Clupeiformes,Teleostei,Fish
Clupeidae,Clupea pallasi,Clupea pallasii,400014,Clupeidae,Clupeiformes,Teleostei,Fish
Herring,Clupea pallasi,Clupea pallasii,400014,Clupeidae,Clupeiformes,Teleostei,Fish
Anthomastus sp.,Anthomastus,Anthomastus,125285,Coralliidae,Scleralcyonacea,Octocorallia,Soft coral
Coralliidae,Coralliidae,Coralliidae,125280,Coralliidae,Scleralcyonacea,Octocorallia,Soft coral
Heteropolypus ritteri,Heteropolypus ritteri,Heteropolypus ritteri,724715,Coralliidae,Scleralcyonacea,Octocorallia,Soft coral
Heteropolypus sp,Heteropolypus sp,Heteropolypus sp,345446,Coralliidae,Scleralcyonacea,Octocorallia,Soft coral
Paragorgia,Paragorgia,Paragorgia,125326,Coralliidae,Scleralcyonacea,Octocorallia,Coral
Paragorgia arborea,Paragorgia arborea,Paragorgia arborea,125418,Coralliidae,Scleralcyonacea,Octocorallia,Coral
Paragorgia sp,Paragorgia,Paragorgia,125326,Coralliidae,Scleralcyonacea,Octocorallia,Coral
Paragorgia sp.,Paragorgia,Paragorgia,125326,Coralliidae,Scleralcyonacea,Octocorallia,Coral
Paragorgia stephencairnsi spp complex,Paragorgia stephencairnsi,Paragorgia stephencairnsi,286608,Coralliidae,Scleralcyonacea,Octocorallia,Coral
Paragorgidae,Paragorgia,Paragorgia,125326,Coralliidae,Scleralcyonacea,Octocorallia,Coral
Cottidae,Cottidae,Cottidae,125589,Cottidae,Perciformes,Teleostei,Fish
Cottidae (sculpin),Cottidae,Cottidae,125589,Cottidae,Perciformes,Teleostei,Fish
Cottidae (sculpins),Cottidae,Cottidae,125589,Cottidae,Perciformes,Teleostei,Fish
Cottoidae (sculpin/poacher),Cottidae,Cottidae,125589,Cottidae,Perciformes,Teleostei,Fish
Cottoidea (sculpin/poacher),Cottidae,Cottidae,125589,Cottidae,Perciformes,Teleostei,Fish
Cottoidea (scuplin/poacher),Cottidae,Cottidae,125589,Cottidae,Perciformes,Teleostei,Fish
Female YIL,Hemilepidotus jordani,Hemilepidotus jordani,254522,Cottidae,Perciformes,Teleostei,Fish
Great Sculpin,Myoxocephalus polyacanthocephalus,Myoxocephalus polyacanthocephalus,254528,Cottidae,Perciformes,Teleostei,Fish
great sculpin,Myoxocephalus polyacanthocephalus,Myoxocephalus polyacanthocephalus,254528,Cottidae,Perciformes,Teleostei,Fish
Hemilepidotus jordani,Hemilepidotus jordani,Hemilepidotus jordani,254522,Cottidae,Perciformes,Teleostei,Fish
Hemilepidotus sp,Hemilepidotus,Hemilepidotus,248338,Cottidae,Perciformes,Teleostei,Fish
Hemilepidotus sp (Irish lord),Hemilepidotus,Hemilepidotus,248338,Cottidae,Perciformes,Teleostei,Fish
Hemilepidotus sp.,Hemilepidotus,Hemilepidotus,248338,Cottidae,Perciformes,Teleostei,Fish
Hemilepidotus sp. (Irish lord),Hemilepidotus,Hemilepidotus,248338,Cottidae,Perciformes,Teleostei,Fish
Irish Lord,Hemilepidotus jordani,Hemilepidotus jordani,254522,Cottidae,Perciformes,Teleostei,Fish
Irish lord sp.,Hemilepidotus,Hemilepidotus,248338,Cottidae,Perciformes,Teleostei,Fish
Irish Lord sp.,Hemilepidotus,Hemilepidotus,248338,Cottidae,Perciformes,Teleostei,Fish
Irish_lord_sp,Hemilepidotus,Hemilepidotus,248338,Cottidae,Perciformes,Teleostei,Fish
Male YIL,Hemilepidotus jordani,Hemilepidotus jordani,254522,Cottidae,Perciformes,Teleostei,Fish
Red Irish Lord,Hemilepidotus hemilepidotus,Hemilepidotus hemilepidotus,254521,Cottidae,Perciformes,Teleostei,Fish
